GPA,Programming_Skill,DBMS_Knowledge,Computer_Networks,Mathematics_Statistics,Web_Development,App_Development,Data_Analysis,Cybersecurity,Cloud_DevOps,UI_UX_Design,Testing_Debugging,Problem_Solving,Analytical_Thinking,Creativity,Communication_Skill,Leadership,Teamwork,Preferred_Work_Type,Work_Style,Career_Role
5.22,8,6,4,10,1,3,8,1,4,2,6,10,9,6,6,2,6,Analytical,Individual,Machine Learning Engineer
5.41,7,4,9,3,2,3,4,5,10,2,8,9,5,5,5,5,8,Technical,Team,Cloud Engineer
4.71,5,2,3,5,3,1,6,1,1,2,1,8,5,3,10,10,9,Analytical,Team,IT Project Coordinator
5.12,8,6,6,4,5,3,4,6,10,1,6,5,8,3,6,2,8,Technical,Team,Cloud Engineer
5.05,8,4,3,6,2,9,1,3,2,5,5,9,8,5,9,4,4,Technical,Individual,Mobile App Developer
4.81,6,6,4,4,2,1,2,2,2,1,9,6,8,4,4,2,5,Analytical,Individual,Software Tester
4.96,6,2,8,5,4,1,4,8,4,1,6,8,9,5,5,3,5,Technical,Individual,Cybersecurity Analyst
5.02,7,4,4,6,2,7,2,5,5,6,4,8,7,5,5,3,6,Technical,Individual,Mobile App Developer
4.98,9,7,5,7,2,1,8,1,7,1,4,7,10,3,4,2,6,Analytical,Individual,Machine Learning Engineer
4.67,4,4,1,5,2,1,5,1,3,2,1,8,9,4,10,7,7,Technical,Team,Business Analyst
5.03,8,6,6,6,4,3,2,4,2,3,5,9,8,5,7,5,7,Technical,Individual,Software Engineer
4.87,7,3,9,3,4,1,5,8,6,1,5,7,6,2,5,2,4,Technical,Individual,Cybersecurity Analyst
4.98,7,3,10,5,2,3,3,7,6,1,5,7,6,3,3,5,7,Technical,Individual,Cybersecurity Analyst
5.23,10,7,6,6,5,4,5,2,4,4,8,7,5,4,6,3,6,Technical,Individual,Software Engineer
4.79,5,5,2,4,2,2,2,3,3,3,9,10,8,5,6,4,7,Technical,Individual,Software Tester
5.0,5,3,2,6,3,2,8,2,2,3,2,6,7,5,7,6,8,Technical,Team,Business Analyst
4.94,5,6,4,5,9,2,1,2,5,8,5,6,8,7,2,2,6,Technical,Team,Web Developer
5.0,7,4,4,8,3,3,10,2,3,2,2,6,10,4,9,6,8,Analytical,Individual,Data Analyst
5.08,7,6,5,10,3,1,10,3,3,2,3,6,10,5,8,3,6,Analytical,Team,Data Analyst
4.57,6,7,9,2,2,1,1,5,5,1,5,8,4,3,7,4,5,Technical,Individual,System Administrator
4.84,6,7,3,8,2,1,8,2,3,2,4,7,10,3,6,5,5,Analytical,Individual,Data Analyst
5.02,9,3,7,5,2,1,2,3,10,2,7,9,5,4,7,5,5,Technical,Team,Cloud Engineer
4.95,4,6,2,6,2,2,6,2,3,1,1,6,9,4,10,6,9,Analytical,Team,Business Analyst
4.71,3,5,4,5,2,2,7,2,1,3,4,8,7,3,8,5,8,Analytical,Team,Business Analyst
4.91,4,4,2,8,1,2,4,2,1,1,1,8,8,4,7,9,7,Analytical,Team,IT Project Coordinator
4.88,7,6,7,4,1,1,5,5,9,2,4,7,6,2,5,3,7,Creative,Team,Cloud Engineer
5.57,10,9,6,5,7,7,2,7,5,1,8,7,9,5,7,5,8,Creative,Individual,Software Engineer
4.76,7,4,4,8,3,1,4,2,2,1,8,6,9,5,4,6,6,Technical,Team,Software Tester
5.37,7,6,6,5,10,3,1,5,4,5,7,9,7,8,4,4,8,Technical,Team,Web Developer
5.28,10,6,2,10,1,2,9,1,5,3,7,8,7,6,6,3,7,Analytical,Team,Machine Learning Engineer
5.73,10,7,3,9,3,1,10,3,7,1,4,9,10,6,6,5,5,Analytical,Individual,Machine Learning Engineer
4.98,5,4,3,6,3,2,6,1,2,1,4,6,10,6,8,5,7,Analytical,Team,Business Analyst
4.84,4,5,5,9,2,3,9,3,1,1,1,7,10,4,8,4,5,Analytical,Individual,Data Analyst
5.04,7,5,4,3,4,1,7,3,1,1,10,7,9,5,10,3,7,Technical,Team,Software Tester
5.03,5,5,7,5,3,1,5,10,6,1,8,7,8,2,5,4,4,Technical,Individual,Cybersecurity Analyst
4.19,2,2,1,5,1,2,6,2,1,2,2,7,8,5,7,8,8,Analytical,Team,IT Project Coordinator
5.8,10,4,5,10,2,2,7,3,6,3,9,9,10,5,5,4,7,Creative,Individual,Machine Learning Engineer
4.93,4,3,1,8,1,1,3,1,1,1,3,6,9,5,7,5,8,Analytical,Team,Business Analyst
5.04,8,4,4,2,7,2,3,2,5,7,4,8,7,6,4,7,6,Technical,Team,Web Developer
4.93,4,3,10,4,2,1,2,9,3,1,5,7,9,4,5,4,6,Technical,Individual,Cybersecurity Analyst
5.06,10,9,7,6,5,3,4,1,3,1,5,8,7,5,6,3,8,Technical,Individual,Software Engineer
4.64,6,8,2,9,2,1,7,3,1,2,2,9,9,2,5,3,7,Technical,Individual,Data Analyst
4.86,4,5,10,4,2,1,1,5,7,1,4,7,6,1,7,3,7,Technical,Team,System Administrator
4.86,5,4,9,4,2,3,3,5,9,1,6,8,5,2,5,2,5,Technical,Team,Cloud Engineer
4.21,3,6,7,3,1,1,1,7,5,1,5,6,5,3,4,5,8,Technical,Team,System Administrator
4.67,1,2,2,4,5,6,1,1,1,7,2,7,7,7,6,4,8,Creative,Team,UI/UX Designer
4.77,4,4,8,5,1,4,1,5,7,2,6,8,8,1,5,5,6,Analytical,Individual,System Administrator
4.4,4,3,3,3,3,1,5,2,3,2,8,9,9,3,4,3,5,Technical,Team,Software Tester
4.92,10,7,5,5,4,10,1,2,4,5,7,6,5,5,1,2,4,Technical,Individual,Mobile App Developer
4.65,6,3,4,3,3,3,3,2,1,1,9,9,8,4,4,5,6,Technical,Team,Software Tester
5.0,7,3,5,5,3,4,3,6,4,2,9,8,6,4,7,3,6,Technical,Team,Software Tester
4.89,5,4,6,4,3,2,3,4,5,1,6,9,5,2,5,2,4,Technical,Team,System Administrator
4.97,3,5,1,3,2,2,5,2,3,2,1,8,6,3,7,10,9,Analytical,Team,IT Project Coordinator
4.78,2,4,4,5,3,2,6,2,3,1,4,5,7,5,9,9,7,Analytical,Team,IT Project Coordinator
4.99,7,6,10,5,4,3,2,6,3,2,5,7,6,5,6,2,5,Technical,Individual,Cybersecurity Analyst
4.94,7,4,8,5,1,2,3,5,9,2,6,8,6,2,4,4,7,Technical,Individual,Cloud Engineer
5.08,7,4,7,4,2,1,5,6,7,1,5,7,9,5,7,3,7,Technical,Team,Cloud Engineer
4.91,10,4,2,7,2,2,7,1,5,2,4,9,8,6,5,4,5,Analytical,Individual,Machine Learning Engineer
4.68,7,3,9,5,3,1,2,3,9,2,4,4,6,3,7,2,8,Technical,Team,Cloud Engineer
4.83,7,3,5,6,3,2,1,3,2,2,10,7,8,4,6,5,5,Technical,Team,Software Tester
5.0,8,6,7,7,3,6,5,5,3,1,5,10,8,5,7,4,7,Technical,Individual,Software Engineer
5.12,10,4,3,10,1,3,10,1,7,1,6,7,9,4,4,3,5,Analytical,Team,Machine Learning Engineer
5.21,10,6,8,4,1,3,3,5,10,1,6,6,7,5,6,4,7,Analytical,Team,Cloud Engineer
5.26,10,6,1,10,2,3,8,3,7,3,5,8,7,3,5,5,4,Analytical,Individual,Machine Learning Engineer
5.02,10,8,4,5,6,3,5,1,2,2,5,9,7,3,7,4,7,Technical,Individual,Software Engineer
5.03,5,6,8,6,2,6,3,3,10,1,6,7,6,3,6,5,8,Technical,Team,Cloud Engineer
4.58,4,3,3,6,3,1,7,1,2,1,2,9,7,4,8,7,7,Analytical,Team,Business Analyst
5.52,8,6,5,5,10,5,4,5,2,5,7,10,8,6,6,3,6,Technical,Team,Web Developer
4.14,6,3,2,2,2,3,2,3,2,2,9,6,7,4,5,3,7,Technical,Team,Software Tester
5.59,9,4,5,7,4,1,8,2,5,2,7,10,9,4,6,5,7,Analytical,Individual,Machine Learning Engineer
5.12,7,5,4,8,1,3,10,1,4,3,5,9,8,5,5,5,5,Analytical,Individual,Data Analyst
4.96,8,6,6,5,4,2,3,6,7,2,6,6,5,5,5,2,6,Technical,Team,Cloud Engineer
4.99,4,4,9,5,2,1,4,4,6,3,6,6,8,4,5,5,8,Technical,Individual,System Administrator
5.11,7,7,3,5,5,4,4,2,5,5,7,7,8,6,4,5,10,Technical,Individual,Mobile App Developer
4.73,4,5,3,6,1,1,6,4,2,2,2,6,7,3,9,10,8,Analytical,Team,IT Project Coordinator
5.16,8,7,6,5,3,7,2,2,3,7,6,7,8,6,4,2,5,Analytical,Individual,Mobile App Developer
4.88,5,6,6,3,3,1,4,7,6,2,7,9,5,1,5,4,7,Creative,Team,System Administrator
4.85,5,5,9,5,2,3,5,8,3,1,6,6,9,4,4,2,5,Technical,Team,Cybersecurity Analyst
5.0,8,6,5,4,4,4,2,4,3,1,8,7,9,4,3,5,8,Technical,Individual,Software Engineer
4.27,5,3,3,4,4,4,5,1,1,3,8,6,7,2,4,3,5,Technical,Team,Software Tester
4.31,2,3,3,4,4,2,1,1,2,9,4,1,4,5,8,5,8,Technical,Team,UI/UX Designer
5.39,9,4,3,5,5,8,2,4,4,6,8,9,6,7,3,4,7,Technical,Team,Mobile App Developer
4.94,5,4,5,4,6,3,5,1,3,3,5,4,7,4,4,3,7,Technical,Team,Software Tester
5.4,10,6,5,10,1,1,10,1,6,2,7,9,8,5,5,5,4,Analytical,Individual,Machine Learning Engineer
5.07,10,5,5,8,3,3,10,1,5,3,5,7,8,6,4,4,4,Analytical,Individual,Machine Learning Engineer
4.88,5,6,8,3,1,2,1,5,7,2,5,6,5,3,6,5,8,Technical,Team,System Administrator
4.85,2,3,3,10,3,1,7,2,1,3,2,7,10,6,10,5,7,Analytical,Team,Business Analyst
4.92,5,3,8,3,4,1,4,4,7,1,5,6,6,4,5,8,7,Technical,Team,Cloud Engineer
5.04,1,5,5,7,2,3,10,2,4,3,5,4,10,4,10,5,7,Analytical,Individual,Data Analyst
5.52,10,6,5,6,1,3,10,3,4,2,5,7,8,9,5,5,7,Analytical,Individual,Machine Learning Engineer
5.12,5,5,4,10,2,2,10,3,2,2,4,9,10,5,7,6,5,Analytical,Individual,Data Analyst
4.91,4,3,10,3,3,2,4,10,5,2,6,6,6,2,5,4,7,Technical,Individual,Cybersecurity Analyst
4.18,3,3,1,1,3,2,4,2,2,9,3,2,5,8,6,5,9,Creative,Team,UI/UX Designer
4.91,3,6,7,4,1,1,1,7,8,2,5,8,7,1,6,3,8,Technical,Team,System Administrator
4.98,4,4,4,4,8,4,1,4,4,5,6,8,6,7,4,5,5,Technical,Team,Web Developer
5.21,7,6,8,5,3,1,4,6,9,1,6,6,6,2,7,5,7,Technical,Team,Cloud Engineer
4.93,7,3,8,4,1,1,3,9,4,2,6,5,8,3,4,5,5,Analytical,Individual,Cybersecurity Analyst
4.91,5,8,1,6,2,1,7,1,1,2,1,8,9,5,10,7,7,Analytical,Team,Business Analyst
5.02,6,8,3,3,8,3,1,5,2,7,7,7,7,7,4,2,8,Technical,Team,Web Developer
4.94,6,6,5,8,1,1,8,2,3,1,5,9,10,5,6,4,4,Analytical,Individual,Data Analyst
5.4,7,6,6,3,10,3,2,5,2,7,6,6,8,8,7,5,6,Technical,Team,Web Developer
5.04,10,4,4,5,3,7,3,2,4,6,8,7,8,6,3,3,4,Technical,Individual,Mobile App Developer
4.81,6,7,8,6,1,2,3,4,8,2,4,6,4,4,6,4,6,Technical,Team,Cloud Engineer
5.29,10,7,1,10,1,2,8,3,4,3,6,10,8,6,6,4,5,Analytical,Individual,Machine Learning Engineer
4.05,2,3,1,1,4,2,1,1,2,7,1,5,5,8,9,5,9,Creative,Team,UI/UX Designer
5.06,8,6,7,7,6,5,2,1,2,3,5,7,7,6,5,5,8,Technical,Individual,Software Engineer
5.03,7,6,7,4,7,3,4,2,3,3,7,7,6,6,4,3,8,Technical,Individual,Software Engineer
4.65,5,5,10,3,1,1,5,8,3,1,7,6,8,3,4,3,5,Technical,Team,Cybersecurity Analyst
4.99,7,3,8,3,1,1,5,8,4,2,8,8,6,5,4,5,6,Technical,Individual,Cybersecurity Analyst
4.92,3,7,6,5,1,1,1,4,7,1,7,9,5,4,5,4,5,Technical,Team,System Administrator
4.96,7,8,3,8,2,3,9,1,4,1,4,10,7,3,6,2,5,Analytical,Individual,Machine Learning Engineer
4.93,4,4,3,4,3,1,4,2,1,1,3,6,6,3,10,9,8,Analytical,Team,IT Project Coordinator
5.53,10,7,7,6,7,5,5,4,4,1,5,9,6,6,6,5,5,Technical,Individual,Software Engineer
5.2,9,7,3,2,7,4,3,2,4,7,4,6,6,10,5,4,7,Technical,Individual,Web Developer
3.86,4,3,4,5,4,1,4,2,3,1,6,8,6,2,4,5,3,Technical,Team,Software Tester
5.33,9,4,5,2,9,2,2,2,4,8,6,7,8,8,4,4,7,Analytical,Team,Web Developer
5.0,8,6,3,4,4,8,4,2,4,4,6,9,6,4,4,3,6,Technical,Individual,Mobile App Developer
5.1,5,4,6,2,3,2,4,7,7,2,7,10,6,6,4,5,8,Analytical,Team,System Administrator
5.08,4,7,9,6,2,3,2,7,5,1,8,9,7,5,6,3,4,Technical,Individual,Cybersecurity Analyst
5.1,9,6,5,1,5,6,2,3,2,4,6,8,9,3,5,6,8,Technical,Individual,Software Engineer
4.69,1,2,1,4,3,4,3,2,2,10,3,6,6,8,8,5,8,Analytical,Team,UI/UX Designer
4.8,1,3,1,2,4,2,2,1,2,9,4,6,4,8,7,5,6,Technical,Team,UI/UX Designer
4.73,6,6,6,3,4,2,2,5,7,1,4,7,8,2,6,3,5,Technical,Individual,Cloud Engineer
5.0,6,6,7,4,3,1,2,10,3,2,5,7,8,3,3,2,6,Technical,Individual,Cybersecurity Analyst
4.81,5,4,2,4,2,1,4,2,3,2,3,10,8,4,10,8,7,Analytical,Team,IT Project Coordinator
4.74,6,5,5,5,3,4,2,1,1,3,9,8,6,3,5,2,8,Technical,Team,Software Tester
5.28,10,5,6,5,1,6,5,5,4,7,6,7,7,6,6,2,6,Technical,Individual,Mobile App Developer
4.69,3,1,1,3,4,1,3,3,2,8,1,6,7,10,9,8,8,Creative,Team,UI/UX Designer
5.4,9,8,4,5,7,2,1,4,3,5,5,9,7,9,4,5,6,Technical,Team,Web Developer
5.07,6,4,9,8,1,2,5,1,8,1,6,10,7,5,5,5,8,Analytical,Team,Cloud Engineer
4.49,5,5,2,6,5,1,1,3,1,3,7,6,9,5,6,1,5,Creative,Team,Software Tester
5.05,10,7,3,9,2,2,7,1,5,1,5,7,10,3,7,2,5,Analytical,Individual,Machine Learning Engineer
5.03,8,7,7,5,3,2,3,4,8,2,5,9,5,2,7,2,8,Analytical,Individual,Cloud Engineer
4.71,3,3,2,1,3,1,3,2,1,10,1,7,4,8,6,6,9,Creative,Individual,UI/UX Designer
5.71,8,6,3,3,8,4,7,2,5,6,7,8,7,9,5,4,6,Technical,Team,Web Developer
3.97,4,2,1,4,4,1,2,2,1,7,1,5,5,7,8,5,8,Creative,Team,UI/UX Designer
5.01,5,7,4,5,8,5,2,2,2,7,4,7,5,7,6,5,5,Technical,Team,Web Developer
4.9,6,7,2,7,2,2,10,2,2,3,2,9,8,3,5,4,7,Analytical,Individual,Data Analyst
4.96,4,6,5,4,2,4,3,3,3,2,8,7,9,3,5,1,8,Technical,Team,Software Tester
5.05,6,7,3,8,3,3,8,5,2,3,5,7,8,5,6,1,6,Analytical,Individual,Data Analyst
4.99,7,4,2,9,1,3,8,1,4,3,7,10,7,3,5,6,4,Analytical,Individual,Machine Learning Engineer
4.17,1,3,2,3,4,2,3,1,2,9,1,4,7,9,6,5,8,Creative,Team,UI/UX Designer
5.76,7,10,5,5,6,5,7,2,3,1,7,10,9,6,4,5,7,Technical,Team,Software Engineer
4.66,10,2,9,4,3,2,3,3,9,2,4,4,6,4,6,2,5,Technical,Team,Cloud Engineer
4.48,4,1,3,1,4,3,1,1,2,7,4,7,4,9,9,3,7,Creative,Team,UI/UX Designer
4.37,6,3,2,4,5,2,1,1,1,7,1,7,6,7,8,3,8,Creative,Team,UI/UX Designer
5.0,7,4,3,7,3,2,8,3,4,1,4,8,8,5,9,5,4,Analytical,Individual,Machine Learning Engineer
4.86,4,1,2,4,3,1,2,1,2,10,4,6,7,8,5,5,9,Creative,Team,UI/UX Designer
